,location,total_sqft,bath,price,bhk
2096,Electronic City,1275.0,3.0,70.0,3.0
2097,Electronic City,770.0,1.0,38.0,2.0
2102,Electronic City,1644.0,3.0,92.59,3.0
2103,Electronic City,1250.0,2.0,62.0,2.0
2106,Electronic City,418.0,1.0,12.0,1.0
2107,Electronic City,1128.0,2.0,64.8,2.0
2110,Electronic City,1060.0,2.0,55.0,2.0
2111,Electronic City,710.0,1.0,40.42,1.0
2114,Electronic City,1275.0,3.0,63.43,3.0
2115,Electronic City,1518.0,3.0,75.0,3.0
2116,Electronic City,1090.0,2.0,31.48,1.0
2119,Electronic City,1060.0,2.0,55.0,2.0
2121,Electronic City,1353.0,2.0,75.0,2.0
2123,Electronic City,1128.0,2.0,67.0,2.0
2124,Electronic City,1070.0,2.0,57.0,2.0
2125,Electronic City,1700.0,3.0,90.0,3.0
2127,Electronic City,750.0,1.0,35.0,1.0
2128,Electronic City,1210.0,2.0,55.0,2.0
2129,Electronic City,1070.0,2.0,60.0,2.0
2134,Electronic City,1615.0,3.0,97.0,3.0
2136,Electronic City,1221.0,2.0,68.0,2.0
2138,Electronic City,1500.0,3.0,73.0,3.0
2139,Electronic City,995.0,2.0,48.0,2.0
2140,Electronic City,1342.0,2.0,90.0,2.0
2142,Electronic City,1128.0,2.0,63.5,2.0
2143,Electronic City,589.0,1.0,29.0,1.0
2146,Electronic City,1575.0,3.0,94.5,3.0
2147,Electronic City,1070.0,2.0,48.0,2.0
2148,Electronic City,1025.0,2.0,54.0,2.0
2149,Electronic City,1500.0,2.0,70.0,3.0
2150,Electronic City,1500.0,2.0,64.5,3.0
2152,Electronic City,2093.0,4.0,134.0,4.0
2154,Electronic City,1355.0,2.0,73.0,2.0
2155,Electronic City,1360.0,2.0,64.99,3.0
2156,Electronic City,1060.0,2.0,52.0,2.0
2157,Electronic City Phase II,1056.0,2.0,39.07,2.0
2158,Electronic City Phase II,1020.0,2.0,30.6,2.0
2159,Electronic City Phase II,1069.0,2.0,45.0,2.0
2160,Electronic City Phase II,630.0,1.0,28.35,1.0
2162,Electronic City Phase II,1000.0,2.0,25.0,2.0
2163,Electronic City Phase II,1090.0,2.0,28.34,2.0
2164,Electronic City Phase II,2225.0,4.0,98.88,4.0
2166,Electronic City Phase II,775.0,2.0,38.0,2.0
2167,Electronic City Phase II,1266.0,2.0,59.0,2.0
2168,Electronic City Phase II,1000.0,2.0,28.88,2.0
2171,Electronic City Phase II,972.0,2.0,44.0,2.0
2173,Electronic City Phase II,1031.0,2.0,55.0,2.0
2174,Electronic City Phase II,1003.0,2.0,40.6,2.0
2175,Electronic City Phase II,1031.0,2.0,56.35,2.0
2177,Electronic City Phase II,1395.0,2.0,62.78,3.0
2178,Electronic City Phase II,1160.0,2.0,33.5,2.0
2179,Electronic City Phase II,1065.0,2.0,30.75,2.0
2180,Electronic City Phase II,1219.0,2.0,61.25,2.0
2182,Electronic City Phase II,1000.0,2.0,28.88,2.0
2183,Electronic City Phase II,1790.0,3.0,100.0,3.0
2184,Electronic City Phase II,769.0,2.0,40.0,2.0
2186,Electronic City Phase II,900.0,2.0,32.5,2.0
2189,Electronic City Phase II,993.0,2.0,50.0,3.0
2190,Electronic City Phase II,1418.0,3.0,52.47,3.0
2191,Electronic City Phase II,1070.0,2.0,45.0,2.0
2194,Electronic City Phase II,1140.0,2.0,33.06,2.0
2195,Electronic City Phase II,1031.0,2.0,55.0,2.0
2196,Electronic City Phase II,1253.0,2.0,65.8,2.0
2198,Electronic City Phase II,1160.0,2.0,33.5,2.0
2199,Electronic City Phase II,975.0,2.0,45.0,3.0
2200,Electronic City Phase II,6000.0,4.0,260.0,4.0
2201,Electronic City Phase II,1116.0,2.0,37.0,2.0
2202,Electronic City Phase II,1125.0,2.0,29.25,2.0
2203,Electronic City Phase II,1000.0,2.0,28.88,2.0
2204,Electronic City Phase II,1000.0,2.0,28.88,2.0
2205,Electronic City Phase II,1000.0,2.0,28.88,2.0
2206,Electronic City Phase II,1165.0,2.0,30.29,2.0
2207,Electronic City Phase II,1031.0,2.0,53.0,2.0
2209,Electronic City Phase II,1065.0,2.0,30.88,2.0
2211,Electronic City Phase II,1549.0,3.0,80.0,3.0
2212,Electronic City Phase II,1065.0,2.0,56.13,2.0
2214,Electronic City Phase II,920.0,2.0,26.0,2.0
2215,Electronic City Phase II,1140.0,2.0,33.84,2.0
2216,Electronic City Phase II,1219.0,2.0,61.26,2.0
2217,Electronic City Phase II,1252.0,2.0,65.0,3.0
2218,Electronic City Phase II,1125.0,2.0,32.49,2.0
2220,Electronic City Phase II,1286.0,2.0,69.0,2.0
2222,Electronic City Phase II,1140.0,2.0,32.92,2.0
2223,Electronic City Phase II,1116.0,2.0,40.0,2.0
2224,Electronic City Phase II,1150.0,3.0,46.0,3.0
2225,Electronic City Phase II,1192.0,2.0,47.0,3.0
2227,Electronic City Phase II,1020.0,2.0,32.0,2.0
2228,Electronic City Phase II,1900.0,3.0,97.0,4.0
2229,Electronic City Phase II,1020.0,2.0,27.43,2.0
2230,Electronic City Phase II,1025.0,2.0,26.65,2.0
2231,Electronic City Phase II,1020.0,2.0,29.45,2.0
2232,Electronic City Phase II,1000.0,2.0,28.88,2.0
2234,Electronic City Phase II,1140.0,2.0,28.5,2.0
2235,Electronic City Phase II,1125.0,2.0,32.49,2.0
2236,Electronic City Phase II,1200.0,2.0,34.65,2.0
2237,Electronic City Phase II,1160.0,2.0,52.2,2.0
2238,Electronic City Phase II,1244.0,2.0,55.0,2.0
2239,Electronic City Phase II,1160.0,2.0,33.51,2.0
2242,Electronic City Phase II,972.0,2.0,40.0,2.0
2243,Electronic City Phase II,1160.0,2.0,33.51,2.0
2245,Electronic City Phase II,1090.0,2.0,31.48,2.0
2246,Electronic City Phase II,1140.0,2.0,32.92,2.0
2247,Electronic City Phase II,650.0,1.0,35.0,1.0
2248,Electronic City Phase II,1155.0,2.0,57.0,2.0
2249,Electronic City Phase II,1800.0,3.0,92.0,3.0
2250,Electronic City Phase II,1300.0,2.0,28.0,2.0
2251,Electronic City Phase II,1160.0,2.0,33.5,2.0
2252,Electronic City Phase II,1025.0,2.0,29.6,2.0
2253,Electronic City Phase II,829.0,2.0,22.8,2.0
2254,Electronic City Phase II,1252.0,2.0,67.0,2.0
2256,Electronic City Phase II,1125.0,2.0,32.63,2.0
2257,Electronic City Phase II,1140.0,2.0,34.0,2.0
2260,Electronic City Phase II,1252.0,2.0,65.0,3.0
2261,Electronic City Phase II,1135.0,2.0,46.0,2.0
2262,Electronic City Phase II,1305.0,3.0,65.0,3.0
2263,Electronic City Phase II,1165.0,2.0,33.64,2.0
2265,Electronic City Phase II,1336.0,2.0,50.35,3.0
2266,Electronic City Phase II,575.0,1.0,16.75,1.0
2267,Electronic City Phase II,925.0,2.0,49.82,3.0
2268,Electronic City Phase II,1065.0,2.0,30.76,2.0
2269,Electronic City Phase II,1065.0,2.0,30.75,2.0
2270,Electronic City Phase II,1140.0,2.0,33.06,2.0
2271,Electronic City Phase II,911.0,2.0,26.5,2.0
2272,Electronic City Phase II,1200.0,2.0,34.65,2.0
2273,Electronic City Phase II,1031.0,2.0,54.48,2.0
2277,Electronics City Phase 1,1475.0,3.0,78.29,3.0
2278,Electronics City Phase 1,1490.0,3.0,78.8,3.0
2279,Electronics City Phase 1,1113.27,2.0,53.0,2.0
2280,Electronics City Phase 1,1490.0,3.0,84.0,3.0
2282,Electronics City Phase 1,1160.0,2.0,52.0,2.0
2287,Electronics City Phase 1,1015.0,2.0,56.0,2.0
2289,Electronics City Phase 1,1515.0,2.0,80.91,3.0
2290,Electronics City Phase 1,995.0,2.0,46.0,2.0
2291,Electronics City Phase 1,1555.0,2.0,82.0,3.0
2292,Electronics City Phase 1,1340.0,2.0,75.0,2.0
2293,Electronics City Phase 1,650.0,1.0,23.0,1.0
2294,Electronics City Phase 1,1124.0,2.0,55.0,3.0
2295,Electronics City Phase 1,1175.0,2.0,57.0,2.0
2296,Electronics City Phase 1,755.0,1.0,42.41,1.0
2297,Electronics City Phase 1,580.0,1.0,27.0,1.0
2298,Electronics City Phase 1,940.0,2.0,49.0,2.0
2299,Electronics City Phase 1,1335.0,2.0,67.0,2.0
2300,Electronics City Phase 1,1113.12,2.0,55.0,2.0
2302,Electronics City Phase 1,1350.0,3.0,71.0,3.0
2304,Electronics City Phase 1,995.0,2.0,49.8,2.0
2305,Electronics City Phase 1,635.0,1.0,26.0,1.0
2306,Electronics City Phase 1,1190.0,2.0,68.0,2.0
2308,Electronics City Phase 1,1450.0,3.0,72.54,3.0
2309,Electronics City Phase 1,360.0,1.0,16.9,1.0
2310,Electronics City Phase 1,638.0,1.0,32.0,1.0
2311,Electronics City Phase 1,1175.0,2.0,64.98,2.0
2312,Electronics City Phase 1,585.0,1.0,21.0,1.0
2313,Electronics City Phase 1,1200.0,2.0,59.76,2.0
2314,Electronics City Phase 1,1145.0,2.0,54.0,2.0
2315,Electronics City Phase 1,1125.0,2.0,65.0,2.0
2316,Electronics City Phase 1,1550.0,2.0,82.0,3.0
2318,Electronics City Phase 1,865.0,2.0,40.0,2.0
2322,Electronics City Phase 1,1800.0,3.0,93.0,3.0
2323,Electronics City Phase 1,1314.0,2.0,60.0,2.0
2324,Electronics City Phase 1,1170.0,2.0,62.0,2.0
2325,Electronics City Phase 1,1450.0,3.0,79.0,3.0
2326,Electronics City Phase 1,940.0,2.0,48.0,2.0
2327,Electronics City Phase 1,940.0,2.0,44.0,2.0
2328,Electronics City Phase 1,1300.0,2.0,67.0,2.0
2329,Electronics City Phase 1,1028.0,2.0,51.0,2.0
2331,Electronics City Phase 1,1205.0,2.0,60.0,2.0
2333,Electronics City Phase 1,1305.0,2.0,67.0,2.0
2334,Electronics City Phase 1,755.0,1.0,30.12,1.0
2335,Electronics City Phase 1,1175.0,2.0,60.0,2.0
2336,Frazer Town,1700.0,3.0,180.0,3.0
2337,Frazer Town,1305.0,3.0,95.45,3.0
2338,Frazer Town,1870.0,3.0,185.0,3.0
2339,Frazer Town,1750.0,3.0,150.0,3.0
2341,Frazer Town,2000.0,3.0,200.0,3.0
2342,Frazer Town,3500.0,4.0,330.0,3.0
2343,Frazer Town,2350.0,4.0,285.0,3.0
2344,Frazer Town,1550.0,2.0,140.0,2.0
2345,Frazer Town,1900.0,4.0,145.0,3.0
2346,Frazer Town,2560.0,3.0,265.0,3.0
2347,Frazer Town,2400.0,3.0,260.0,3.0
2348,Frazer Town,2560.0,3.0,288.0,3.0
2349,Frazer Town,3436.0,5.0,341.0,4.0
2351,Frazer Town,1315.0,2.0,140.0,2.0
2352,Frazer Town,1706.0,3.0,154.0,3.0
2353,Frazer Town,2079.0,3.0,220.0,3.0
2354,Frazer Town,3435.0,2.0,341.0,4.0
2355,Frazer Town,3436.0,5.0,345.0,4.0
2356,Frazer Town,3100.0,3.0,400.0,3.0
2357,Frazer Town,5400.0,3.0,400.0,3.0
2358,Frazer Town,1180.0,2.0,105.0,2.0
2359,Frazer Town,2900.0,4.0,325.0,4.0
2360,Frazer Town,1870.0,3.0,180.0,3.0
2361,Frazer Town,896.0,1.0,100.0,1.0
2362,Frazer Town,1420.0,2.0,120.0,2.0
2363,GM Palaya,1820.0,2.0,86.0,3.0
2364,GM Palaya,1225.0,2.0,47.0,2.0
2365,GM Palaya,1140.0,2.0,48.95,2.0
2366,GM Palaya,1315.0,2.0,65.0,3.0
2367,GM Palaya,1315.0,3.0,65.0,3.0
2368,GM Palaya,1315.0,3.0,64.0,3.0
2369,GM Palaya,1735.0,3.0,70.0,3.0
2370,GM Palaya,1643.0,2.0,70.0,3.0
2371,Garudachar Palya,1325.0,2.0,60.8,3.0
2372,Garudachar Palya,1060.0,2.0,48.7,2.0
2373,Garudachar Palya,1150.0,2.0,52.75,2.0
2374,Garudachar Palya,1295.0,2.0,59.5,3.0
2375,Garudachar Palya,1320.0,2.0,60.6,3.0
2376,Garudachar Palya,1295.0,2.0,59.5,3.0
2377,Garudachar Palya,1150.0,2.0,52.8,2.0
2378,Garudachar Palya,1150.0,2.0,52.8,2.0
2379,Garudachar Palya,1060.0,2.0,48.5,2.0
2380,Garudachar Palya,1150.0,2.0,52.5,2.0
2381,Garudachar Palya,1325.0,2.0,60.8,3.0
2382,Garudachar Palya,1060.0,2.0,48.66,2.0
2383,Garudachar Palya,1150.0,2.0,52.0,2.0
2384,Garudachar Palya,1154.0,2.0,51.8,2.0
2386,Giri Nagar,2400.0,4.0,400.0,4.0
2387,Giri Nagar,1800.0,3.0,252.0,3.0
2388,Giri Nagar,1350.0,3.0,240.0,3.0
2389,Giri Nagar,2400.0,4.0,400.0,4.0
2390,Giri Nagar,3000.0,4.0,375.0,6.0
2391,Giri Nagar,2400.0,6.0,400.0,6.0
2392,Giri Nagar,4000.0,3.0,750.0,4.0
2393,Gollarapalya Hosahalli,861.0,2.0,34.5,2.0
2394,Gollarapalya Hosahalli,1408.0,3.0,62.0,3.0
2395,Gollarapalya Hosahalli,861.0,2.0,34.5,2.0
2396,Gollarapalya Hosahalli,1318.0,3.0,54.0,3.0
2397,Gollarapalya Hosahalli,861.0,2.0,36.5,2.0
2398,Gollarapalya Hosahalli,1320.0,3.0,60.0,3.0
2399,Gollarapalya Hosahalli,1345.0,3.0,60.0,3.0
2400,Gollarapalya Hosahalli,1905.0,3.0,86.0,4.0
2401,Gollarapalya Hosahalli,1318.0,3.0,56.0,3.0
2402,Gollarapalya Hosahalli,1129.0,2.0,50.0,2.0
2403,Gottigere,1100.0,2.0,40.0,2.0
2404,Gottigere,967.0,2.0,45.0,2.0
2405,Gottigere,1618.0,3.0,82.5,3.0
2406,Gottigere,1222.0,2.0,63.0,2.0
2408,Gottigere,1300.0,3.0,65.0,3.0
2409,Gottigere,950.0,2.0,38.0,2.0
2410,Gottigere,1153.0,2.0,48.5,2.0
2411,Gottigere,812.0,1.0,26.0,1.0
2413,Gottigere,1460.0,2.0,65.0,3.0
2414,Gottigere,1500.0,3.0,70.0,3.0
2415,Gottigere,1621.0,3.0,72.0,3.0
2416,Gottigere,812.0,1.0,26.0,1.0
2417,Gottigere,990.0,2.0,40.0,2.0
2418,Gottigere,1235.0,2.0,63.0,2.0
2419,Gottigere,1385.0,3.0,64.0,3.0
2420,Gottigere,1000.0,2.0,35.0,2.0
2421,Gottigere,1010.0,2.0,35.0,2.0
2424,Gottigere,1435.0,2.0,62.0,3.0
2425,Gottigere,945.0,2.0,45.0,2.0
2427,Gottigere,2500.0,3.0,120.0,4.0
2428,Gottigere,1230.0,2.0,52.0,3.0
2429,Gottigere,1120.0,2.0,50.0,2.0
2430,Gottigere,1500.0,3.0,63.0,3.0
2431,Gottigere,1200.0,2.0,40.0,2.0
2432,Gottigere,1280.0,2.0,61.0,2.0
2433,Gottigere,1205.0,2.0,56.58,2.0
2434,Gottigere,1170.0,2.0,40.0,2.0
2435,Gottigere,3000.0,3.0,132.0,4.0
2436,Gottigere,1613.0,3.0,72.0,3.0
2437,Gottigere,1110.0,2.0,36.25,2.0
2438,Gottigere,1245.0,2.0,59.0,2.0
2439,Gottigere,1200.0,2.0,50.0,2.0
2440,Green Glen Layout,1670.0,3.0,120.0,3.0
2441,Green Glen Layout,3250.0,4.0,230.0,4.0
2442,Green Glen Layout,1776.42,3.0,105.0,3.0
2443,Green Glen Layout,3250.0,4.0,230.0,4.0
2444,Green Glen Layout,940.0,2.0,56.8,2.0
2445,Green Glen Layout,1075.0,2.0,60.0,2.0
2446,Green Glen Layout,1715.0,3.0,115.0,3.0
2447,Green Glen Layout,1751.0,2.0,115.0,3.0
2448,Green Glen Layout,1750.0,3.0,130.0,3.0
2449,Green Glen Layout,1530.0,3.0,105.0,3.0
2450,Green Glen Layout,1752.0,3.0,105.0,3.0
2451,Green Glen Layout,1680.0,4.0,95.0,3.0
2452,Green Glen Layout,1728.0,3.0,125.0,3.0
2453,Green Glen Layout,1645.0,3.0,110.0,3.0
2454,Green Glen Layout,1517.0,3.0,100.0,3.0
2455,Green Glen Layout,3150.0,4.0,218.0,4.0
2457,Green Glen Layout,1750.0,3.0,120.0,3.0
2458,Green Glen Layout,1751.0,3.0,115.0,3.0
2459,Green Glen Layout,1750.0,3.0,105.0,3.0
2460,Green Glen Layout,1885.0,3.0,135.0,3.0
2461,Green Glen Layout,1715.0,3.0,120.0,3.0
2462,Green Glen Layout,1623.29,2.0,105.0,3.0
2463,Green Glen Layout,1715.0,3.0,115.0,3.0
2464,Green Glen Layout,1715.0,3.0,105.0,3.0
2465,Green Glen Layout,1600.0,3.0,105.0,3.0
2466,Green Glen Layout,1717.0,3.0,125.0,3.0
2467,Green Glen Layout,1250.0,2.0,75.0,2.0
2468,Green Glen Layout,1715.0,3.0,112.0,3.0
2469,Gubbalala,1470.0,2.0,82.0,3.0
2470,Gubbalala,1745.0,3.0,104.0,3.0
2471,Gubbalala,1745.0,3.0,115.0,3.0
2472,Gubbalala,1745.0,3.0,110.0,3.0
2473,Gubbalala,1650.0,3.0,71.0,3.0
2474,Gubbalala,2570.0,4.0,141.0,5.0
2475,Gubbalala,1205.0,2.0,70.0,2.0
2476,Gubbalala,1435.0,2.0,80.0,3.0
2477,Gubbalala,1475.0,2.0,80.0,2.0
2479,Gubbalala,1100.0,2.0,49.5,2.0
2480,Gubbalala,1060.0,2.0,46.0,2.0
2481,Gubbalala,2000.0,3.0,125.0,3.0
2483,Gunjur,1140.0,2.0,43.0,2.0
2484,Gunjur,1356.0,2.0,66.0,3.0
2485,Gunjur,1600.0,3.0,75.0,3.0
2486,Gunjur,2000.0,3.0,95.0,4.0
2487,Gunjur,1140.0,2.0,49.11,2.0
2488,Gunjur,1195.0,2.0,44.0,2.0
2489,Gunjur,1190.0,2.0,40.0,2.0
2490,Gunjur,1457.0,2.0,60.0,2.0
2491,Gunjur,1080.0,2.0,41.0,2.0
2494,Gunjur,1175.0,2.0,43.48,2.0
2495,Gunjur,1362.0,3.0,62.63,3.0
2496,Gunjur,1071.0,2.0,51.0,2.0
2497,Gunjur,1063.0,2.0,40.0,2.0
2498,Gunjur,1235.0,2.0,52.76,2.0
2499,Gunjur,1362.0,3.0,62.63,3.0
2500,Gunjur,1362.0,3.0,62.63,3.0
2501,Gunjur,1588.0,2.0,90.0,3.0
2502,Gunjur,1235.0,2.0,44.5,2.0
2503,Gunjur,1457.0,2.0,60.0,2.0
2504,HAL 2nd Stage,1490.0,2.0,300.0,3.0
2505,HAL 2nd Stage,600.0,3.0,145.0,2.0
2506,HAL 2nd Stage,2700.0,3.0,500.0,3.0
2507,HAL 2nd Stage,2040.0,4.0,500.0,5.0
2508,HBR Layout,2800.0,2.0,200.0,3.0
2509,HBR Layout,1722.0,3.0,95.0,3.0
2510,HBR Layout,1200.0,4.0,120.0,4.0
2511,HBR Layout,1200.0,2.0,60.0,2.0
2512,HBR Layout,1004.0,2.0,49.0,2.0
2513,HBR Layout,1783.0,3.0,125.0,3.0
2514,HBR Layout,1656.0,3.0,90.0,3.0
2515,HBR Layout,1089.0,2.0,60.0,2.0
2516,HBR Layout,1700.0,3.0,110.0,3.0
2517,HBR Layout,1198.0,2.0,65.0,2.0
2518,HBR Layout,1200.0,4.0,115.0,4.0
2519,HBR Layout,1200.0,2.0,120.0,2.0
2520,HBR Layout,1832.0,3.0,160.0,3.0
2521,HRBR Layout,1374.0,2.0,95.0,2.0
2522,HRBR Layout,1440.0,2.0,98.0,2.0
2524,HRBR Layout,2800.0,3.0,250.0,3.0
2525,HRBR Layout,1210.0,2.0,75.0,2.0
2526,HRBR Layout,1265.0,2.0,78.0,2.0
2527,HRBR Layout,1170.0,2.0,75.0,2.0
2529,HRBR Layout,1900.0,3.0,90.0,4.0
2530,HRBR Layout,1625.0,3.0,120.0,3.0
2531,HRBR Layout,1301.0,2.0,120.0,2.0
2532,HRBR Layout,1145.0,2.0,68.5,2.0
2533,HRBR Layout,1300.0,2.0,90.0,2.0
2535,HSR Layout,1372.0,2.0,68.0,2.0
2537,HSR Layout,1475.0,3.0,75.0,3.0
2538,HSR Layout,1467.0,2.0,55.0,2.0
2539,HSR Layout,1140.0,2.0,46.0,2.0
2540,HSR Layout,1372.0,2.0,61.0,2.0
2541,HSR Layout,1750.0,3.0,95.0,3.0
2543,HSR Layout,1027.0,2.0,44.0,2.0
2544,HSR Layout,1650.0,3.0,110.0,3.0
2545,HSR Layout,1140.0,2.0,46.0,2.0
2546,HSR Layout,1372.0,2.0,61.0,2.0
2547,HSR Layout,1140.0,2.0,46.0,2.0
2548,HSR Layout,1185.0,2.0,60.0,2.0
2549,HSR Layout,1127.0,2.0,68.0,2.0
2550,HSR Layout,1600.0,2.0,115.0,3.0
2551,HSR Layout,1145.0,2.0,48.0,2.0
2552,HSR Layout,1009.0,2.0,56.0,2.0
2553,HSR Layout,1300.0,2.0,98.0,2.0
2555,HSR Layout,1140.0,2.0,46.0,2.0
2556,HSR Layout,1126.0,2.0,69.0,2.0
2558,HSR Layout,1140.0,2.0,46.0,2.0
2559,HSR Layout,1145.0,2.0,46.0,2.0
2560,HSR Layout,1142.0,2.0,65.0,2.0
2561,HSR Layout,1145.0,2.0,46.0,2.0
2562,HSR Layout,1844.0,3.0,95.0,3.0
2563,HSR Layout,1203.0,2.0,72.0,2.0
2564,HSR Layout,1140.0,2.0,46.0,2.0
2565,HSR Layout,4200.0,5.0,245.0,5.0
2566,HSR Layout,1140.0,2.0,46.0,2.0
2567,HSR Layout,1145.0,2.0,46.0,2.0
2568,HSR Layout,1009.0,2.0,56.0,2.0
2569,HSR Layout,1145.0,2.0,46.0,2.0
2570,HSR Layout,1100.0,2.0,44.0,2.0
2571,HSR Layout,1203.0,2.0,60.0,2.0
2572,HSR Layout,1120.0,2.0,70.0,2.0
2573,HSR Layout,1140.0,2.0,46.0,2.0
2574,HSR Layout,1289.0,2.0,70.0,2.0
2575,HSR Layout,1844.0,3.0,89.0,3.0
2576,HSR Layout,1203.0,2.0,60.0,2.0
2577,HSR Layout,1140.0,2.0,46.0,2.0
2578,Haralur Road,1240.0,2.0,70.0,2.0
2579,Haralur Road,1027.0,2.0,44.0,2.0
2581,Haralur Road,2650.0,4.0,198.0,4.0
2583,Haralur Road,1194.0,2.0,47.0,2.0
2584,Haralur Road,1202.0,2.0,53.0,2.0
2585,Haralur Road,1056.0,2.0,61.0,2.0
2587,Haralur Road,1810.0,3.0,100.0,3.0
2588,Haralur Road,1194.0,2.0,46.0,2.0
2590,Haralur Road,1225.0,2.0,67.38,2.0
2591,Haralur Road,1243.0,2.0,46.0,2.0
2592,Haralur Road,1027.0,2.0,44.0,2.0
2593,Haralur Road,1920.0,3.0,115.0,3.0
2594,Haralur Road,1875.0,3.0,110.0,3.0
2595,Haralur Road,1194.0,2.0,47.0,2.0
2596,Haralur Road,1140.0,2.0,43.0,2.0
2597,Haralur Road,1027.0,2.0,44.0,2.0
2598,Haralur Road,1194.0,2.0,46.0,2.0
2599,Haralur Road,2017.0,3.0,125.0,3.0
2600,Haralur Road,1140.0,2.0,43.0,2.0
2601,Haralur Road,1875.0,3.0,110.0,3.0
2602,Haralur Road,1092.0,2.0,44.0,2.0
2603,Haralur Road,2475.0,4.0,130.0,3.0
2604,Haralur Road,1300.0,2.0,73.0,2.0
2605,Haralur Road,1194.0,2.0,47.0,2.0
2606,Haralur Road,1243.0,2.0,46.0,2.0
2607,Haralur Road,1850.0,3.0,110.0,3.0
2608,Haralur Road,1225.0,2.0,67.38,2.0
2609,Haralur Road,1243.0,2.0,46.0,2.0
2610,Haralur Road,3400.0,5.0,240.0,4.0
2611,Haralur Road,1464.0,2.0,56.0,2.0
2612,Haralur Road,1230.0,2.0,78.0,2.0
2613,Haralur Road,1000.0,2.0,44.0,2.0
2614,Haralur Road,1300.0,2.0,79.0,2.0
2615,Haralur Road,1444.0,2.0,80.0,3.0
2616,Haralur Road,1088.0,2.0,68.0,2.0
2617,Haralur Road,1027.0,2.0,44.0,2.0
2619,Haralur Road,1225.0,2.0,70.0,2.0
2621,Haralur Road,1194.0,2.0,46.0,2.0
2622,Haralur Road,1830.0,3.0,101.0,3.0
2623,Haralur Road,1810.0,3.0,126.0,3.0
2624,Haralur Road,1464.0,2.0,56.0,2.0
2625,Haralur Road,1520.0,2.0,96.0,3.0
2626,Haralur Road,1300.0,2.0,75.0,2.0
2627,Haralur Road,2017.0,2.0,125.0,3.0
2628,Haralur Road,1243.0,2.0,46.0,2.0
2629,Haralur Road,1027.0,2.0,44.0,2.0
2630,Haralur Road,2805.0,5.0,160.0,4.0
2631,Haralur Road,1243.0,2.0,46.0,2.0
2632,Haralur Road,1027.0,2.0,44.0,2.0
2633,Haralur Road,2017.0,3.0,105.0,3.0
2634,Haralur Road,1243.0,2.0,46.0,2.0
2635,Haralur Road,1243.0,2.0,46.0,2.0
2636,Haralur Road,1520.0,2.0,90.0,3.0
2637,Haralur Road,1300.0,2.0,60.0,2.0
2638,Haralur Road,1985.0,3.0,130.0,3.0
2639,Haralur Road,1255.0,2.0,90.0,3.0
2640,Haralur Road,1056.0,2.0,60.0,2.0
2641,Haralur Road,1140.0,2.0,42.0,2.0
2642,Haralur Road,1245.0,2.0,62.0,2.0
2643,Haralur Road,1140.0,2.0,58.0,2.0
2644,Haralur Road,1140.0,2.0,42.0,2.0
2645,Haralur Road,1027.0,2.0,43.0,2.0
2646,Haralur Road,1194.0,2.0,47.0,2.0
2647,Haralur Road,1194.0,2.0,47.0,2.0
2648,Haralur Road,1560.0,3.0,90.0,3.0
2649,Haralur Road,1520.0,2.0,85.0,3.0
2650,Haralur Road,1243.0,2.0,45.0,2.0
2651,Haralur Road,1027.0,2.0,44.0,2.0
2652,Haralur Road,1194.0,2.0,46.0,2.0
2653,Haralur Road,1650.0,3.0,100.0,3.0
2654,Haralur Road,1580.0,3.0,73.0,3.0
2655,Haralur Road,1243.0,2.0,46.0,2.0
2656,Haralur Road,1194.0,2.0,47.0,2.0
2658,Haralur Road,1520.0,2.0,96.0,3.0
2659,Haralur Road,1510.0,3.0,83.05,3.0
2660,Haralur Road,1056.0,2.0,65.0,2.0
2661,Haralur Road,1810.0,3.0,100.0,3.0
2662,Haralur Road,1243.0,2.0,46.0,2.0
2663,Haralur Road,575.0,1.0,38.0,1.0
2664,Haralur Road,1194.0,2.0,46.0,2.0
2665,Haralur Road,1243.0,2.0,46.0,2.0
2666,Haralur Road,1194.0,2.0,46.0,2.0
2667,Haralur Road,1140.0,2.0,43.0,2.0
2668,Haralur Road,1850.0,3.0,120.0,3.0
2669,Haralur Road,1194.0,2.0,47.0,2.0
2670,Haralur Road,1194.0,2.0,47.0,2.0
2672,Haralur Road,1243.0,2.0,46.0,2.0
2673,Haralur Road,1710.0,3.0,85.0,3.0
2674,Haralur Road,1730.0,3.0,95.0,3.0
2675,Haralur Road,1243.0,2.0,46.0,2.0
2676,Haralur Road,1243.0,2.0,46.0,2.0
2677,Haralur Road,1243.0,2.0,46.0,2.0
2678,Haralur Road,1817.0,3.0,110.0,3.0
2679,Haralur Road,1225.0,2.0,77.0,2.0
2680,Haralur Road,1285.0,2.0,78.0,2.0
2681,Haralur Road,1225.0,2.0,67.48,2.0
2682,Haralur Road,1225.0,2.0,69.84,2.0
2683,Haralur Road,1200.0,2.0,46.0,2.0
2684,Haralur Road,1315.0,2.0,85.0,2.0
2685,Haralur Road,1976.0,3.0,92.0,3.0
2686,Haralur Road,1300.0,2.0,75.0,2.0
2687,Haralur Road,1309.0,2.0,82.0,2.0
2688,Haralur Road,1027.0,1.0,44.0,2.0
2689,Haralur Road,1243.0,2.0,46.0,2.0
2690,Haralur Road,1243.0,2.0,46.0,2.0
2691,Haralur Road,1140.0,2.0,43.0,2.0
2692,Haralur Road,1300.0,2.0,75.0,2.0
2693,Haralur Road,1243.0,2.0,46.0,2.0
